,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Stage,Cycle,Fluorescence,Corr_Fluorescence,Derivative
479,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,45,3.849046289920807,3.6010751724243164,0.0034813844490715713
480,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,46,3.865178167819977,3.6110076904296875,0.00036040239585833023
481,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,47,3.877913534641266,3.617543935775757,-0.0015161903985889214
482,JG045A,13,BP280_GC70,8,False,A13,100000000.0,SYBR,,STANDARD,,11.98003,8,late,48,3.882958948612213,3.6163899898529053,-0.0005849604496156349
483,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,early,3,-0.007661983370780945,0.013475810177624226,0.02089349911233519
484,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,early,4,-0.0041631609201431274,-0.07640662044286728,0.01679487442879529
485,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,early,5,-0.0019097626209259033,-0.1675344705581665,0.010413756871018335
486,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,early,6,0.003865256905555725,-0.2551407217979431,0.0017501464390043315
487,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,early,7,0.00986965000629425,-0.34251755475997925,-0.00919595686724673
488,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,early,8,0.018479734659194946,-0.4272887408733368,-0.016162174052475095
489,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,9,0.032281890511512756,-0.5068678259849548,-0.012886126121421015
490,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,10,0.05120633542537689,-0.5813246369361877,0.0006321869259154952
491,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,11,0.08171041309833527,-0.6442018151283264,0.02439276508953445
492,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,12,0.1281369924545288,-0.6911565065383911,0.05839560836943584
493,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,13,0.1935356855392456,-0.719139039516449,0.10264071676561967
494,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,14,0.28783857822418213,-0.7182174324989319,0.14836273096791433
495,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,15,0.4158078730106354,-0.6836293935775757,0.18679629166614814
496,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,16,0.5861905515193939,-0.6066279411315918,0.217941398860321
497,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,17,0.7934288084506989,-0.4927709400653839,0.24179805255043302
498,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,18,1.0384916961193085,-0.34108930826187134,0.2583662527364842
499,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,19,1.3121341168880463,-0.1608281433582306,0.26764599941847456
500,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,20,1.5960122048854828,0.029668698087334633,0.269637292596404
501,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,21,1.8848895728588104,0.22516481578350067,0.2643401322702726
502,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,22,2.1602804362773895,0.4071744382381439,0.25175451844008034
503,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,23,2.413962572813034,0.5674753189086914,0.23188045110582728
504,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,24,2.639250010251999,0.6993814706802368,0.20471793026751328
505,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,25,2.8456883132457733,0.8124385476112366,0.17524635435373692
506,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,26,3.0198449790477753,0.8932139277458191,0.14844512179309666
507,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,27,3.162579983472824,0.9425677061080933,0.12431423258559252
508,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,28,3.272947758436203,0.9595542550086975,0.10285368673122446
509,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,29,3.3626355826854706,0.9558607935905457,0.08406348422999248
510,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,30,3.4312245547771454,0.9310685396194458,0.06794362508189662
511,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,31,3.480392426252365,0.8868551254272461,0.05449410928693686
512,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,32,3.52707502245903,0.8401564955711365,0.0437149368451132
513,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,middle,33,3.56662055850029,0.7863207459449768,0.03560610775642563
514,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,34,3.5878531634807587,0.7141721248626709,0.03016762202087416
515,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,35,3.6123258769512177,0.6452635526657104,0.02739947963845879
516,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,36,3.637238949537277,0.5767953991889954,0.025836337275299152
517,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,37,3.6530339419841766,0.49920913577079773,0.02401285159751487
518,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,38,3.6599664390087128,0.4127603769302368,0.021929022605105954
519,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,39,3.67541167140007,0.3348243534564972,0.0195848502980724
520,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,40,3.6911971271038055,0.2572285532951355,0.016980334676414206
521,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,41,3.708961695432663,0.18161188066005707,0.014115475740131375
522,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,42,3.721769541501999,0.10103847086429596,0.01099027348922391
523,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,43,3.734725445508957,0.02061312086880207,0.007604727923691806
524,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,44,3.7383303344249725,-0.0691632404923439,0.003958839043535061
525,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,45,3.752517431974411,-0.14835739135742188,5.260684875367913e-05
526,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,46,3.7576272189617157,-0.23662886023521423,-0.00411396866065234
527,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,47,3.770222634077072,-0.31741470098495483,-0.007168299419810916
528,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,48,3.7781138122081757,-0.40290477871894836,-0.007737797363849969
529,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,49,3.78500434756279,-0.48939549922943115,-0.005822462492769495
530,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,50,3.795063227415085,-0.5727178454399109,-0.001422294806569497
531,JG045A,14,BP280_GC70,8,False,A14,100000000.0,SYBR,,STANDARD,,68.396225,9,late,51,3.812195748090744,-0.6489666104316711,0.005462705694750025
1268,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,early,3,-0.0036554306745529286,0.0023136399686336517,0.00734823158419136
1269,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,early,4,-0.0015570342540741078,0.001414945349097252,0.005757026173301817
1270,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,early,5,0.0009079456329345592,0.0008828340214677155,0.004412981328361264
1271,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,early,6,0.0016714066267013439,-0.0013507960829883814,0.0033160970493697002
1272,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,early,7,0.0026331126689910778,-0.003386181313544512,0.0024663733363271254
1273,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,early,8,0.005181390047073353,-0.003834994975477457,0.0018638101892335388
1274,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,early,9,0.010622385144233693,-0.001391091151162982,0.001508407608088942
1275,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,early,10,0.015885698795318592,0.0008751313434913754,0.0014001655928933343
1276,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,early,11,0.022484171390533436,0.004476512782275677,0.001539084143646715
1277,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,early,12,0.031358781456947316,0.010354031808674335,0.0019251632603490853
1278,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,early,13,0.044221746921539296,0.02021990530192852,0.002558402943000445
1279,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,14,0.0635093331336975,0.0365104004740715,0.008478036468061289
1280,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,15,0.09375576972961425,0.06375974416732788,0.024723297111992112
1281,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,16,0.1397872745990753,0.10679416358470917,0.051294184874792925
1282,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,17,0.20730023384094237,0.17131002247333527,0.08819069975646371
1283,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,18,0.3042690634727478,0.2652817666530609,0.13541284175700447
1284,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,19,0.4389305591583252,0.39694616198539734,0.19296061087641522
1285,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,20,0.6161339759826661,0.5711525082588196,0.2467769752953972
1286,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,21,0.8367633700370789,0.7887848019599915,0.2828049031946516
1287,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,22,1.0991265654563904,1.048150897026062,0.30104439457417836
1288,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,23,1.3895132422447205,1.335540533065796,0.3014954494339775
1289,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,24,1.6917452692985535,1.6347754001617432,0.2841580677740491
1290,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,25,1.995648729801178,1.9356818199157715,0.2585406571757775
1291,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,26,2.2909098744392393,2.2279458045959473,0.23415162522054692
1292,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,27,2.557569372653961,2.491608142852783,0.2109909719083572
1293,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,28,2.798810827732086,2.7298526763916016,0.1890586972392086
1294,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,29,3.004757511615753,2.932802200317383,0.168354801213101
1295,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,30,3.166733372211456,3.0917809009552,0.14887928383003451
1296,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,31,3.3101831555366514,3.232233762741089,0.13063214509000892
1297,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,32,3.422761309146881,3.3418147563934326,0.11361338499302441
1298,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,33,3.5173269391059874,3.4333832263946533,0.09782300353908092
1299,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,34,3.589434731006622,3.5024938583374023,0.08326100072817844
1300,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,35,3.6391295075416563,3.54919171333313,0.06992737656031699
1301,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,middle,36,3.687689411640167,3.594754457473755,0.05782213103549656
1302,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,37,3.726604092121124,3.630671977996826,0.04694526415371713
1303,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,38,3.752806770801544,3.6538777351379395,0.03729677591497875
1304,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,39,3.767924654483795,3.6659984588623047,0.02887666631928137
1305,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,40,3.787801373004913,3.682878017425537,0.021684935366625017
1306,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,41,3.8076807141304014,3.6997604370117188,0.015721583057009696
1307,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,42,3.822593319416046,3.7116758823394775,0.010986609390435388
1308,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,43,3.8338624119758604,3.7199478149414062,0.007480014366902102
1309,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,44,3.8543420910835264,3.7374303340911865,0.005201797986409838
1310,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,45,3.86482058763504,3.7449119091033936,0.004151960248958593
1311,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,46,3.876057732105255,3.7531518936157227,0.004330501154548371
1312,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,47,3.8953786969184874,3.7694756984710693,0.005090084069225151
1313,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,48,3.894765484333038,3.7658655643463135,0.005783372359034914
1314,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,49,3.9124122738838194,3.780515193939209,0.006410366023977661
1315,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,50,3.917826759815216,3.7829325199127197,0.006971065064053391
1316,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,51,3.932327854633331,3.794436454772949,0.007465469479262108
1317,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,52,3.9407216191291807,3.799833297729492,0.007893579269603804
1318,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,53,3.9360242962837217,3.7921388149261475,0.008255394435078488
1319,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,54,3.9527236104011534,3.8058409690856934,0.008550914975686153
1320,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,55,3.9732204556465147,3.823340892791748,0.008780140891426803
1321,JG045A,37,BP280_GC70,7,False,B13,10000000.0,SYBR,,STANDARD,,16.577682,22,late,56,3.97951899766922,3.8266422748565674,0.008943072182300435
1322,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,early,3,-0.00391965508460998,0.36284339427948,0.00428170053789972
1323,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,early,4,-0.001647734642028803,0.27425047755241394,0.00468906218178156
1324,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,early,5,-0.00044428706169127863,0.18458907306194305,0.004873664919830296
1325,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,early,6,0.0013570547103881891,0.09552556276321411,0.0048355087520459295
1326,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,early,7,0.0046546220779419,0.00795827992260456,0.004574593678428459
1327,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,early,8,0.007459214329719549,-0.08010197430849075,0.004090919698977887
1328,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,early,9,0.008791631460189825,-0.1696344017982483,0.003384486813694211
1329,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,early,10,0.013385570049285894,-0.2559053301811218,0.0024552950225774327
1330,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,early,11,0.01831108927726746,-0.3418446481227875,0.0013033443256275515
1331,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,early,12,0.024369975924491888,-0.42665061354637146,-7.13652771554342e-05
1332,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,early,13,0.03170954287052155,-0.510175883769989,-0.001668833785771522
1333,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,middle,14,0.04700267910957337,-0.5857475996017456,0.0010715223082589887
1334,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,middle,15,0.06753764152526856,-0.65607750415802,0.012710286513415802
1335,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,middle,16,0.09953737854957581,-0.7149426341056824,0.033247458829698914
1336,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,middle,17,0.1467955768108368,-0.7585492730140686,0.06268303925710833
1337,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,middle,18,0.2126246750354767,-0.7835850119590759,0.10101702779564403
1338,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,middle,19,0.31007362008094785,-0.777000904083252,0.14824942444530606
1339,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,middle,20,0.44095552563667295,-0.7369838356971741,0.19395484925969664
1340,JG045A,38,BP280_GC70,7,False,B14,10000000.0,SYBR,,STANDARD,,78.68444,23,middle,21,0.6150139033794403,-0.6537903547286987,0.22770792229241799
