,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,Reaction,Blocker,Blocker μM,WellName,lg10_Blocker,CT,ΔCT,Cycle,Fluorescence,Corr_Fluorescence
25,JG075A,35,S075_WT,7.0,False,B11,10000000.0,EVAGREEN,JG075A_035,STANDARD,,25,L-MMMMx,0.5623413251903491,B11,-0.25,18.636963696369634,5.683968396839681,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[-0.00808268475600065, -0.006228877293945333, -0.003760418463855165, -0.0016593963059513333, 0.0005565082991214699, 0.0030559308937217226, 0.006498055620086335, 0.009620882006822954, 0.012936729620678884, 0.01635320258835603, 0.019400945286573976, 0.02399514223948358, 0.029760622714607547, 0.038419907812478435, 0.05019676233795578, 0.06867816638861894, 0.09436474210906695, 0.1329683269726192, 0.186883699811505, 0.25627038594048024, 0.3370694624441395, 0.4252875670177999, 0.5131873916156429, 0.5931609879191364, 0.6613265182225263, 0.7146656072380235, 0.7579782164549619, 0.7898106177721026, 0.8150652696201447, 0.8308288808472093, 0.8412494399171063, 0.8505807350365578, 0.8559928157460733, 0.8637889687061342, 0.8683471651221735, 0.8731988705024221, 0.8773629326004306, 0.8818735686741824, 0.8838546991359032, 0.8860632825308785, 0.8900673789405914, 0.8934876501300485, 0.8949881128731878, 0.8947498707882107, 0.8985388447237808, 0.9012398758295244, 0.9062442807346636]","[0.24782110750675201, 0.19666987657546997, 0.14684975147247314, 0.09623390436172485, 0.045866839587688446, -0.003886232851073146, -0.05159778892993927, -0.10000081360340118, -0.14798583090305328, -0.19575294852256775, -0.24431857466697693, -0.28953519463539124, -0.332215279340744, -0.36862853169441223, -0.39829036593437195, -0.4134328365325928, -0.41297173500061035, -0.3845375180244446, -0.3229440450668335, -0.22784584760665894, -0.1080329492688179, 0.027846623212099075, 0.16303692758083344, 0.28106215596199036, 0.3735158145427704, 0.43386128544807434, 0.47249338030815125, 0.4862639009952545, 0.48578962683677673, 0.46476152539253235, 0.43216249346733093, 0.39720451831817627, 0.35375910997390747, 0.315476655960083, 0.2701820731163025, 0.22552311420440674, 0.17937497794628143, 0.13397739827632904, 0.08310191333293915, 0.032718997448682785, -0.013775549829006195, -0.06153443083167076, -0.11345085501670837, -0.16913262009620667, -0.216093048453331, -0.2654094994068146, -0.30973780155181885]"
26,JG075A,36,S075_WT,7.0,False,B12,10000000.0,EVAGREEN,JG075A_036,STANDARD,,26,L-MMMMx,0.3162277660168379,B12,-0.5000000000000001,18.176917691769177,5.223922392239224,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]","[-0.008550058698352424, -0.006738389479377053, -0.004094331700331916, -0.0014764899085719851, 0.0012059629384656558, 0.003967242649109414, 0.006495151907058945, 0.009190912291999363, 0.012412423636647903, 0.016339771195395213, 0.02010058874777073, 0.0256369648888663, 0.03223919637443767, 0.04160054698797366, 0.05623329272676447, 0.0780982793463585, 0.10991083633086657, 0.15493049852775556, 0.213873781209462, 0.28628266837135263, 0.3690791141110091, 0.4549853126479423, 0.5355815420898776, 0.6083542603655984, 0.672184203077267, 0.7224062180853899, 0.7628607479829894, 0.7929912156625786, 0.8142695146339086, 0.8294064743139816, 0.8420743696503474, 0.8524298635297538, 0.8581581324407732, 0.864143359312207, 0.8683755692154841, 0.873481149941369, 0.8777689570040331, 0.8817025936473942, 0.8858389122124019, 0.8893314046623695, 0.8914086466491297, 0.8928371083185281, 0.8968652050861547, 0.9005784347728966, 0.9046347154470639, 0.9045228605679803, 0.906286116220935]","[0.2311018705368042, 0.18002831935882568, 0.1307573914527893, 0.08142967522144318, 0.03224189206957817, -0.016775183379650116, -0.06629765033721924, -0.11545661091804504, -0.16347701847553253, -0.20996885001659393, -0.25682133436203003, -0.2998286485671997, -0.34052774310112, -0.3752516806125641, -0.3985598683357239, -0.4062058925628662, -0.3923094570636749, -0.3498116433620453, -0.27716079354286194, -0.17534878849983215, -0.05104146525263786, 0.08000035583972931, 0.19954289495944977, 0.30214279890060425, 0.3853762149810791, 0.439140260219574, 0.4717518091201782, 0.4820055067539215, 0.47308894991874695, 0.4508726894855499, 0.42330941557884216, 0.3907383978366852, 0.3481466472148895, 0.30611133575439453, 0.26027971506118774, 0.21633946895599365, 0.17062824964523315, 0.12415003031492233, 0.07811073958873749, 0.030677178874611855, -0.019821250811219215, -0.07172468304634094, -0.11799833923578262, -0.16495387256145477, -0.21116648614406586, -0.2664056420326233, -0.3175840377807617]"
27,JG075A,37,S075_WT,7.0,False,B13,10000000.0,EVAGREEN,JG075A_037,STANDARD,,27,L-MMMMx,0.1778279410038923,B13,-0.75,16.717371737173718,3.764376437643765,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[-0.009065894372580758, -0.006899518029050975, -0.005523887422743171, -0.0025599670754723044, 0.0004333894905928161, 0.004492890396269166, 0.008085939391692488, 0.011037047621292737, 0.014098634562664969, 0.018760649040688217, 0.02522161695172803, 0.03478432836629137, 0.04735726815815955, 0.06663124824856906, 0.09474250691692654, 0.1340835523193972, 0.1885441626471228, 0.2572850960268219, 0.3344949630418571, 0.4154216377786441, 0.4969043391559936, 0.5712228236027501, 0.6351601073647204, 0.688104346455185, 0.7301542946404215, 0.7632242006508088, 0.787978147784213, 0.8069917157342562, 0.821336113136256, 0.830399000583261, 0.8384531023442006, 0.8467208953652791, 0.8512112742562046, 0.8554830076846697, 0.859821567797784, 0.8644372329607539, 0.8658541348247354, 0.8679703498697589, 0.8712313159312298, 0.8745069244128957, 0.8775794105993755, 0.8795618621817154, 0.8814563491495004, 0.8835254442257761, 0.8862066585222332, 0.8903123711262318]","[0.17928041517734528, 0.12856890261173248, 0.07614493370056152, 0.02716057002544403, -0.021760040894150734, -0.06837181001901627, -0.11599372327327728, -0.16500583291053772, -0.21377868950366974, -0.25908565521240234, -0.30049678683280945, -0.3351907730102539, -0.3633658289909363, -0.37702906131744385, -0.37155425548553467, -0.34176021814346313, -0.27922317385673523, -0.18576063215732574, -0.07395774126052856, 0.04589428752660751, 0.16695044934749603, 0.2724917531013489, 0.35555151104927063, 0.4148046672344208, 0.4504651427268982, 0.4666784107685089, 0.46488258242607117, 0.45065540075302124, 0.42631661891937256, 0.390540212392807, 0.35257917642593384, 0.3150808811187744, 0.26940223574638367, 0.22325007617473602, 0.17724265158176422, 0.13183531165122986, 0.0795007199048996, 0.02868056856095791, -0.019660506397485733, -0.06796987354755402, -0.11671911925077438, -0.16782894730567932, -0.219129279255867, -0.2700514793395996, -0.31964805722236633, -0.3661597669124603]"
28,JG075A,38,S075_WT,7.0,False,B14,10000000.0,EVAGREEN,JG075A_038,STANDARD,,28,L-MMMMx,0.1,B14,-1.0,15.31983198319832,2.3668366836683674,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]","[-0.010585257053535234, -0.0076001850146857, -0.0050520598589293645, -0.0021472183743437385, 0.0013303288986204103, 0.004215972849209783, 0.00766632705609752, 0.012172091497566324, 0.017250437872355612, 0.02493194233369049, 0.03490703604483569, 0.05076031833392158, 0.07555235777850981, 0.11228961205747155, 0.16412537590182136, 0.23268091202130725, 0.31419377898612605, 0.4030781136786586, 0.4897499016143585, 0.5715941496678008, 0.6421048892568577, 0.7020066999944113, 0.7489860794896533, 0.7844827189372443, 0.8079036553659797, 0.8276971248548298, 0.8439949091855493, 0.8545524244262928, 0.8622023733711736, 0.8688516835404734, 0.8748376810656016, 0.8783055125973461, 0.8818422625880535, 0.8857777708189584, 0.8892562814090407, 0.8912602012014409, 0.894001526486067, 0.8952579121948282, 0.8982092956578908, 0.9002036373258026, 0.9040887227864118, 0.9054834958800234, 0.9060227332793849]","[0.10392279922962189, 0.0534060038626194, 0.0019429493695497513, -0.04874759912490845, -0.09819789230823517, -0.14893001317977905, -0.19843919575214386, -0.24566277861595154, -0.29164639115333557, -0.33199256658554077, -0.3673717677593231, -0.39002111554145813, -0.3933126926422119, -0.37073564529418945, -0.31546124815940857, -0.2239784449338913, -0.10443519800901413, 0.03107171319425106, 0.16178712248802185, 0.2820480167865753, 0.3777649998664856, 0.4505072832107544, 0.4952646791934967, 0.515155017375946, 0.5088942050933838, 0.49477773904800415, 0.4730909764766693, 0.438973069190979, 0.3985585570335388, 0.35597702860832214, 0.31195905804634094, 0.2624877095222473, 0.21316564083099365, 0.16470710933208466, 0.11525889486074448, 0.06261730939149857, 0.01157265156507492, -0.0426877960562706, -0.09327755123376846, -0.1459398865699768, -0.19450761377811432, -0.24846836924552917, -0.3042818605899811]"
37,JG075A,56,S075_WT,6.0,False,C8,1000000.0,EVAGREEN,JG075A_056,STANDARD,,37,L-MMMMx,3.1622776601683795,C8,0.5,24.78037803780378,8.624662466246622,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","[-0.006246189478724749, -0.004219150075490346, -0.0028265788495772477, -0.0001372726893280413, 0.0010673691285185175, 0.0023344338956174065, 0.004458135290815736, 0.005569252778168724, 0.0093831628654242, 0.011397651622777182, 0.012515760040072892, 0.0143512920002307, 0.017692240905849473, 0.01943815685067854, 0.020960803410880222, 0.021829275077859076, 0.024416799903745352, 0.027160106869300146, 0.03077375708937751, 0.03665934944745437, 0.04534494686432228, 0.06009718521077578, 0.08171110386604893, 0.11671870849780425, 0.16997131915944305, 0.24280387318987037, 0.32820441280984425, 0.4141467219770328, 0.4918213482165278, 0.5574304000285802, 0.6065717934169743, 0.6406208149461898, 0.6646353749064395, 0.6824243741359648, 0.6935892745813379, 0.7046330723032939, 0.713787887726711, 0.7191006642030244, 0.7222001232688108, 0.7230089793678529, 0.7227677647614827, 0.7284091699917965, 0.7317094393916856, 0.7362725900100464, 0.7376100044501123, 0.7393290025623273, 0.7392310194497442, 0.7436660213680526, 0.7451189237689044, 0.7486768116895175, 0.752068568692279, 0.7510525168428085, 0.7522195067230109, 0.7564986164082658, 0.7595561298943958]","[0.0009224819368682802, 0.0010766630293801427, -0.00014316203305497766, 0.001445226138457656, -0.000181579525815323, -0.001673201797530055, -0.0013096891343593597, -0.0031390313524752855, 0.0008848025463521481, 0.0010118039790540934, -0.0008023986010812223, -0.0010629466269165277, 0.0019366410560905933, 0.0014820204814895988, 0.0005438868538476527, -0.001810929854400456, -0.0004429597465787083, 0.0012623727088794112, 0.004852523095905781, 0.01336279883980751, 0.027936773374676704, 0.05564868450164795, 0.09822027385234833, 0.16979727149009705, 0.2808856964111328, 0.4343765377998352, 0.6150846481323242, 0.7969659566879272, 0.960942804813385, 1.0987904071807861, 1.2009755373001099, 1.2704766988754272, 1.3182470798492432, 1.352535367012024, 1.3724786043167114, 1.3921594619750977, 1.4077495336532593, 1.4150193929672241, 1.4174959659576416, 1.4150121212005615, 1.4102541208267212, 1.4182355403900146, 1.421147108078003, 1.4267934560775757, 1.4254541397094727, 1.4249413013458252, 1.420493483543396, 1.425862431526184, 1.4247732162475586, 1.428242564201355, 1.4313522577285767, 1.4249162673950195, 1.4232078790664673, 1.4282392263412476, 1.4306249618530273]"
38,JG075A,57,S075_WT,6.0,False,C9,1000000.0,EVAGREEN,JG075A_057,STANDARD,,38,L-MMMMx,1.7782794100389228,C9,0.25,24.299729972997298,8.144014401440142,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]","[-0.006987338146038132, -0.005078594084905367, -0.004106689682789719, -0.0020110070540547372, 0.0009126879226992509, 0.003646471810458054, 0.005587638373451156, 0.008036830861179494, 0.009993575638139447, 0.012094212469196043, 0.015081651515821458, 0.01595804990651489, 0.016297577905622803, 0.01902701310467708, 0.02179855902346507, 0.02351926358314637, 0.02602207154933306, 0.029479884583049447, 0.03440001300202876, 0.040640436339718075, 0.05047216094034503, 0.06911856745166416, 0.09972876705606284, 0.14628423197265203, 0.21100433474812966, 0.29545322714881406, 0.38946472087067685, 0.4827243318201961, 0.5645121570138645, 0.6302307517439171, 0.6800903943755602, 0.7163201456733651, 0.7385787161440651, 0.7548733077666218, 0.7681884421129601, 0.7770455650235408, 0.7835148725084886, 0.7911651517335242, 0.793375936996198, 0.7963511006304044, 0.8024648064820453, 0.8040914362443083, 0.8101810316446508, 0.8108387295261912, 0.8098464578478645, 0.8100906449756275, 0.8136959831451431, 0.8148114493212006, 0.8168978290589095, 0.8202841914858098, 0.8227296958451431, 0.8237750325350035, 0.8269477037017648, 0.8321133954158187, 0.8380707686608666]","[0.0007387915393337607, 0.00032624031882733107, -0.0021151339169591665, -0.002122850390151143, -0.00033742067171260715, 0.0010367368813604116, 0.0006943999323993921, 0.0014522455167025328, 0.0011436447966843843, 0.0011466570431366563, 0.003070131177082658, 0.00042192882392555475, -0.003388921730220318, -0.00202418165281415, -0.0005682464106939733, -0.0013880166225135326, -0.0005140611901879311, 0.0024280562065541744, 0.008536968380212784, 0.017505114898085594, 0.034250594675540924, 0.07008517533540726, 0.13182859122753143, 0.22810311615467072, 0.3637150526046753, 0.5420516729354858, 0.7410971522331238, 0.9385142922401428, 1.1110881567001343, 1.248862385749817, 1.352292537689209, 1.4262056350708008, 1.469862699508667, 1.5006041526794434, 1.5248934030532837, 1.539528250694275, 1.5489920377731323, 1.5610133409500122, 1.5612549781799316, 1.5631518363952637, 1.571845531463623, 1.57082200050354, 1.5794636011123657, 1.5763417482376099, 1.5696467161178589, 1.565629482269287, 1.5688910484313965, 1.566760540008545, 1.56673264503479, 1.569520115852356, 1.5702699422836304, 1.5679875612258911, 1.5703121423721313, 1.5769529342651367, 1.5853080749511719]"
39,JG075A,58,S075_WT,6.0,False,C10,1000000.0,EVAGREEN,JG075A_058,STANDARD,,39,L-MMMMx,1.0,C10,0.0,23.809880988098808,7.654165416541652,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]","[-0.006712266383385378, -0.005141233780509268, -0.0031898010093719333, -0.0008686196049648428, 0.001110914502674533, 0.0029025742489398316, 0.004787097765389153, 0.007111334261227905, 0.009814236954515318, 0.01258768198419326, 0.01461279475319148, 0.01677090033117879, 0.01832753822397599, 0.020339687496899322, 0.0227020713506145, 0.025462635454256248, 0.02871292245738949, 0.03303455571257166, 0.03849023340251739, 0.04748758776214594, 0.06143837378969353, 0.08433997219839273, 0.1209313527423292, 0.17500212239403626, 0.25008790268702585, 0.3423694440048737, 0.4386339438025289, 0.5314601170955995, 0.6122518723891612, 0.6772922918680774, 0.7249028367390928, 0.7590201161669617, 0.7805507491765393, 0.7969333054136509, 0.8090260729071698, 0.8188148060409837, 0.8246747466403731, 0.829616618502875, 0.8329110529533631, 0.8382130402779538, 0.8435269176881165, 0.8470785302857888, 0.8466865978354567, 0.8487731977599354, 0.8515814598225958, 0.8547299104446736, 0.8573030130371347, 0.858579876115492, 0.8607105133939406, 0.8626720472331447, 0.8663053491224312, 0.8687439175985143, 0.8699177332685819, 0.873196094084871]","[0.33124029636383057, 0.28639909625053406, 0.24238167703151703, 0.1991649866104126, 0.15520843863487244, 0.11084501445293427, 0.06668270379304886, 0.02347264066338539, -0.01891738548874855, -0.061154644936323166, -0.10501249134540558, -0.1485823392868042, -0.19345471262931824, -0.23734064400196075, -0.2804681062698364, -0.3227332532405853, -0.3639378547668457, -0.402822345495224, -0.43925097584724426, -0.46800971031188965, -0.48604127764701843, -0.484688937664032, -0.4536899924278259, -0.3848375976085663, -0.27047502994537354, -0.11887327581644058, 0.0413539819419384, 0.19413518905639648, 0.32085463404655457, 0.41346293687820435, 0.46832501888275146, 0.49396607279777527, 0.49234944581985474, 0.47958412766456604, 0.4575287997722626, 0.430483877658844, 0.39493075013160706, 0.3573894500732422, 0.31628042459487915, 0.2795189917087555, 0.2427833080291748, 0.2022312432527542, 0.15313903987407684, 0.10941434651613235, 0.06725248694419861, 0.02582733891904354, -0.016843782737851143, -0.062322042882442474, -0.10595136880874634, -0.1499469131231308, -0.19032205641269684, -0.23328453302383423, -0.2789859473705292, -0.32012975215911865]"
40,JG075A,59,S075_WT,6.0,False,C11,1000000.0,EVAGREEN,JG075A_059,STANDARD,,40,L-MMMMx,0.5623413251903491,C11,-0.25,23.029702970297027,6.873987398739871,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]","[-0.009155393413688017, -0.006305516051526071, -0.00347061138971389, -0.0013833233815794199, 0.0006738816091243636, 0.0037234133248473353, 0.006652860680963641, 0.009264688621572058, 0.011045861972923275, 0.012287330028027161, 0.014391599940786273, 0.017807990338424725, 0.02057196733699914, 0.022892378087711756, 0.0243527668387385, 0.027663467586849195, 0.03272693759300053, 0.03972469332558716, 0.04852561356316373, 0.06274056866783825, 0.0858087383679286, 0.12189311135094037, 0.17443336276542362, 0.24646374886994302, 0.3363660069994897, 0.4350424326740763, 0.5311683799468037, 0.6164254678862207, 0.6851674471530765, 0.737888086578759, 0.7766121136054189, 0.8042894804821149, 0.824382734258115, 0.8384965961120824, 0.8477798905157067, 0.8554691427990057, 0.8619265601983817, 0.8674790099736762, 0.8724672311512315, 0.874498564196478, 0.8761467722621864, 0.8810395424750118, 0.8848746455388653, 0.8867702334404997, 0.8901984313536713, 0.8937697506672451, 0.8939799189390664, 0.8975098431399084, 0.8996035991344072, 0.9018596327782852, 0.9027594260132751, 0.9054058508000961]","[-0.001324107521213591, -0.0003447414201218635, 0.0006021997542120516, -6.990003021201119e-05, -0.0008071477059274912, 0.0006045905174687505, 0.0017562736757099628, 0.0022201191168278456, 0.000885096553247422, -0.0016187136061489582, -0.0022540371865034103, -4.782878386322409e-05, 0.0007455112063325942, 0.0005782627849839628, -0.0014514520298689604, 0.0005258746678009629, 0.006299003958702087, 0.01626102812588215, 0.03012799099087715, 0.05571960657835007, 0.10048376768827438, 0.17343586683273315, 0.2820248603820801, 0.43282175064086914, 0.6223220229148865, 0.8308236598968506, 1.0338020324707031, 1.2132426500320435, 1.356918215751648, 1.465897798538208, 1.5445663928985596, 1.59931218624115, 1.6376339197158813, 1.6630065441131592, 1.6779181957244873, 1.6893776655197144, 1.6981695890426636, 1.7050015926361084, 1.7106118202209473, 1.7098184823989868, 1.7081955671310425, 1.7135989665985107, 1.7167119979858398, 1.7156246900558472, 1.717856526374817, 1.720398187637329, 1.7156610488891602, 1.7181130647659302, 1.7174550294876099, 1.7171483039855957, 1.713904619216919, 1.7144434452056885]"
41,JG075A,60,S075_WT,6.0,False,C12,1000000.0,EVAGREEN,JG075A_060,STANDARD,,41,L-MMMMx,0.3162277660168379,C12,-0.5000000000000001,22.244224422442244,6.088508850885088,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54]","[-0.009506335000436177, -0.007117638827723986, -0.004540504065039979, -0.0017397008292082375, 0.0012646650753493577, 0.0039045393057673536, 0.007518024385767331, 0.010216949955524336, 0.012240521417133611, 0.014310208245353237, 0.01725480720356981, 0.019933131548672774, 0.02200513033797582, 0.02463433927172923, 0.028059949990355132, 0.032621352876230275, 0.038406746492352505, 0.04542524106632434, 0.05805542941835339, 0.07752112337693623, 0.10670365948897706, 0.14933454294311518, 0.20987971189882285, 0.2876158803404908, 0.37719484924520597, 0.471978427875546, 0.5616770682896743, 0.6386392251886288, 0.7034876968509287, 0.75231493876544, 0.7872171840278224, 0.8154258615801652, 0.832745752896526, 0.8458659118581626, 0.8557184991552328, 0.8632646300381296, 0.8692649397032981, 0.8739473214575324, 0.8776530647940993, 0.8798467855821097, 0.8853897673263008, 0.8887915428270905, 0.8900066435165049, 0.8921008398845434, 0.8939299313816831, 0.8964428128925904, 0.8988790694075901, 0.900855686040529, 0.904107624444436, 0.9066200655818037, 0.9070320350281921, 0.9112166845891817]","[0.3093564212322235, 0.26339223980903625, 0.21783612668514252, 0.17276440560817719, 0.12813350558280945, 0.08271327614784241, 0.03940149024128914, -0.005890861619263887, -0.052645765244960785, -0.0993008017539978, -0.1440611183643341, -0.18939809501171112, -0.2360481172800064, -0.2814914584159851, -0.3252100944519043, -0.36646905541419983, -0.40507733821868896, -0.44101524353027344, -0.4648004174232483, -0.47378259897232056, -0.4617219567298889, -0.420537531375885, -0.34055790305137634, -0.22334936261177063, -0.08049401640892029, 0.07363244146108627, 0.21674694120883942, 0.3322792649269104, 0.42157816886901855, 0.4761814475059509, 0.5006287097930908, 0.5105803608894348, 0.4969511926174164, 0.47422710061073303, 0.4444267451763153, 0.40963152050971985, 0.37148866057395935, 0.33049166202545166, 0.2873796820640564, 0.24099326133728027, 0.2018599957227707, 0.158089742064476, 0.1095840111374855, 0.06298205256462097, 0.015805985778570175, -0.029889265075325966, -0.0757504552602768, -0.1226070448756218, -0.1667017936706543, -0.2123979926109314, -0.2626429796218872, -0.30471786856651306]"
42,JG075A,61,S075_WT,6.0,False,C13,1000000.0,EVAGREEN,JG075A_061,STANDARD,,42,L-MMMMx,0.1778279410038923,C13,-0.75,20.626762676267628,4.471047104710472,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]","[-0.009032179993656695, -0.006791875942149945, -0.003939796712289503, -0.000706285188684167, 0.0014135629380417963, 0.0033865877742974967, 0.006559080039308293, 0.009110907085132723, 0.01182956689413749, 0.014520469408468106, 0.016921151998463977, 0.01982079157061191, 0.022682008551421103, 0.02750284649887141, 0.032278174593328456, 0.03933104582674304, 0.05045375298234379, 0.06818078339782947, 0.09331857111777388, 0.1313806066208813, 0.18512712373063875, 0.2548345944599385, 0.335815737898917, 0.4230803236657442, 0.5102307425924044, 0.5888656033352131, 0.6568923609269054, 0.711085114049109, 0.7531808610824742, 0.782681264320139, 0.8041597130652622, 0.8219388038901443, 0.835562089620887, 0.8449796979541195, 0.8484615113457494, 0.8548648728931274, 0.8618739682443612, 0.8660043417665829, 0.8678978378939036, 0.8710134806872739, 0.8745107071527933, 0.8786834666282111, 0.8830897341730541, 0.8847981633203164, 0.8859838690759558, 0.8859752817919316, 0.8873013566133502, 0.8893023038843575, 0.892481910934369, 0.8971091359027561, 0.9003464318864681]","[0.27662044763565063, 0.22957009077072144, 0.18384459614753723, 0.13894513249397278, 0.09163392335176468, 0.04400474950671196, -0.0010268517071381211, -0.04740256816148758, -0.09341699630022049, -0.13949152827262878, -0.18619456887245178, -0.23181705176830292, -0.2775227725505829, -0.3189846873283386, -0.36054518818855286, -0.3971734344959259, -0.4249880313873291, -0.4385002851486206, -0.43596377968788147, -0.40543848276138306, -0.3409467935562134, -0.2418900579214096, -0.11841899901628494, 0.018659500405192375, 0.15549075603485107, 0.2738806903362274, 0.36929768323898315, 0.43475571274757385, 0.4740164577960968, 0.486000657081604, 0.48061248660087585, 0.467212975025177, 0.44481363892555237, 0.41330647468566895, 0.3689447343349457, 0.33090993762016296, 0.29418689012527466, 0.2512296736240387, 0.2034282684326172, 0.15827354788780212, 0.11394519358873367, 0.07107977569103241, 0.028720038011670113, -0.019482145085930824, -0.06881634145975113, -0.12073689699172974, -0.1697671115398407, -0.21733582019805908, -0.26235201954841614, -0.30423322319984436, -0.3491244912147522]"
43,JG075A,62,S075_WT,6.0,False,C14,1000000.0,EVAGREEN,JG075A_062,STANDARD,,43,L-MMMMx,0.1,C14,-1.0,19.019201920192017,2.8634863486348614,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]","[-0.0076033209559469165, -0.005973126920346872, -0.004274303420919365, -0.0019218830185398774, 0.001253953333038008, 0.003321286915154868, 0.006260972956069175, 0.00893642111149098, 0.011270731152050345, 0.014632790464228437, 0.01739430412331516, 0.020640187391051414, 0.02523160448599167, 0.0319944209351489, 0.04186352223995781, 0.057221976048826305, 0.08116520925731786, 0.11724685742905276, 0.1682922333396816, 0.23693207346867362, 0.3203829693350152, 0.4115816596420894, 0.5022059101899726, 0.5855038863446537, 0.6566583970020581, 0.7139110856648601, 0.7584141896996822, 0.7918281925846518, 0.818963900007518, 0.8371536391581693, 0.8474015718005042, 0.8587437225956063, 0.8678543905716686, 0.8723154846222042, 0.8762581489231291, 0.8811235058831084, 0.8845261621309775, 0.8889184478159351, 0.8923825361725922, 0.893529709243508, 0.8958020367083548, 0.8985566832925568, 0.9016863079458125, 0.9023649235704887, 0.904219336546161, 0.9079654841549953, 0.9096435275280184, 0.9104386219539449]","[0.2443656027317047, 0.19335472583770752, 0.14249245822429657, 0.09304563701152802, 0.04538200423121452, -0.004682205151766539, -0.05285724624991417, -0.10160452127456665, -0.1510905623435974, -0.1983509063720703, -0.24691180884838104, -0.2944237291812897, -0.33902180194854736, -0.3789174556732178, -0.4120861291885376, -0.4333670437335968, -0.4360567331314087, -0.41245943307876587, -0.3564566373825073, -0.26235121488571167, -0.13617093861103058, 0.0067879934795200825, 0.148502916097641, 0.2743520438671112, 0.3739032447338104, 0.44334861636161804, 0.485183447599411, 0.5030036568641663, 0.5072275996208191, 0.49207812547683716, 0.4597298502922058, 0.4297512173652649, 0.3949400782585144, 0.3500598073005676, 0.3040568232536316, 0.26005202531814575, 0.21287958323955536, 0.1678503006696701, 0.12081090360879898, 0.06875398755073547, 0.019133713096380234, -0.02944204956293106, -0.07720575481653214, -0.1302773803472519, -0.18080268800258636, -0.2272312492132187, -0.27813851833343506, -0.33095788955688477]"
