,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,Reaction,Blocker,Blocker μM,Configuration,WellName,lg10_Blocker,Cycle,Fluorescence,Corr_Fluorescence,SignalDifference
174,JG075B,128,S075_WT,3.0,False,F8,1000.0,FAM,JG075B_128,STANDARD,,174,L-MMMMx,0.0,2+2,F8,-2.0,50,-0.6121419628801388,0.4436350166797638,0.08364677585892821
192,JG075B,145,S075_WT,2.0,False,G1,100.0,FAM,JG075B_145,STANDARD,,192,L-MMMMx,3.1622776601683795,2+2,G1,0.5,50,-0.9858091029297635,0.7417349815368652,-0.4302318800932402
196,JG075B,147,S075_WT,2.0,False,G3,100.0,FAM,JG075B_147,STANDARD,,196,L-MMMMx,1.0,2+2,G3,0.0,50,-0.9577221589754125,0.7150902152061462,-0.39950959994719326
204,JG075B,151,S075_WT,2.0,False,G7,100.0,FAM,JG075B_151,STANDARD,,204,L-MMMMx,0.1,2+2,G7,-1.0,50,-0.9053813981264244,0.6711961627006531,-0.31508017195832916
206,JG075B,152,S075_WT,2.0,False,G8,100.0,FAM,JG075B_152,STANDARD,,206,L-MMMMx,0.0,2+2,G8,-2.0,50,-0.7012960933656541,0.5114263892173767,-0.04113682576243527
224,JG075B,169,S075_WT,1.0,False,H1,10.0,FAM,JG075B_169,STANDARD,,224,L-MMMMx,3.1622776601683795,2+2,H1,0.5,50,-0.9970840243815599,0.7380944490432739,-0.4497485167766433
228,JG075B,171,S075_WT,1.0,False,H3,10.0,FAM,JG075B_171,STANDARD,,228,L-MMMMx,1.0,2+2,H3,0.0,50,-0.9361084525915083,0.6901259422302246,-0.374039685064844
236,JG075B,175,S075_WT,1.0,False,H7,10.0,FAM,JG075B_175,STANDARD,,236,L-MMMMx,0.1,2+2,H7,-1.0,50,-0.88285441195706,0.6508541107177734,-0.28413401759277535
238,JG075B,176,S075_WT,1.0,False,H8,10.0,FAM,JG075B_176,STANDARD,,238,L-MMMMx,0.0,2+2,H8,-2.0,50,-0.636486770909635,0.46079134941101074,0.042538237991999184
256,JG075B,193,S075_SNV,8.0,False,I1,100000000.0,FAM,JG075B_193,STANDARD,,256,L-MMMMx,3.1622776601683795,2+2,I1,0.5,50,-0.004281993543989854,-0.017380690202116966,0.8312939802304041
260,JG075B,195,S075_SNV,8.0,False,I3,100000000.0,FAM,JG075B_195,STANDARD,,260,L-MMMMx,1.0,2+2,I3,0.0,50,0.009394327241715503,-0.018746891990303993,0.8610475796329805
268,JG075B,199,S075_SNV,8.0,False,I7,100000000.0,FAM,JG075B_199,STANDARD,,268,L-MMMMx,0.1,2+2,I7,-1.0,50,-0.02560678724378496,-0.020696720108389854,0.8288233638891435
270,JG075B,200,S075_SNV,8.0,False,I8,100000000.0,FAM,JG075B_200,STANDARD,,270,L-MMMMx,0.0,2+2,I8,-2.0,50,-0.020046908914421298,-0.019185028970241547,0.8361812608453039
288,JG075B,217,S075_SNV,7.0,False,J1,10000000.0,FAM,JG075B_217,STANDARD,,288,L-MMMMx,3.1622776601683795,2+2,J1,0.5,50,-0.13551152657306031,0.09262999892234802,0.679808179112488
292,JG075B,219,S075_SNV,7.0,False,J3,10000000.0,FAM,JG075B_219,STANDARD,,292,L-MMMMx,1.0,2+2,J3,0.0,50,-0.13798837022492022,0.09122518450021744,0.6840719529717547
300,JG075B,223,S075_SNV,7.0,False,J7,10000000.0,FAM,JG075B_223,STANDARD,,300,L-MMMMx,0.1,2+2,J7,-1.0,50,-0.15636096617315295,0.09539855271577835,0.6749631539964127
302,JG075B,224,S075_SNV,7.0,False,J8,10000000.0,FAM,JG075B_224,STANDARD,,302,L-MMMMx,0.0,2+2,J8,-2.0,50,-0.1414324151373315,-0.012567884288728237,0.667956525157118
320,JG075B,241,S075_SNV,6.0,False,K1,1000000.0,FAM,JG075B_241,STANDARD,,320,L-MMMMx,3.1622776601683795,2+2,K1,0.5,50,-0.29751031222628815,0.21327199041843414,0.48310354090164714
324,JG075B,243,S075_SNV,6.0,False,K3,1000000.0,FAM,JG075B_243,STANDARD,,324,L-MMMMx,1.0,2+2,K3,0.0,50,-0.29457193493764267,0.2024351954460144,0.45666777717202667
332,JG075B,247,S075_SNV,6.0,False,K7,1000000.0,FAM,JG075B_247,STANDARD,,332,L-MMMMx,0.1,2+2,K7,-1.0,50,-0.3261528797215827,0.21740072965621948,0.4689428264011156
334,JG075B,248,S075_SNV,6.0,False,K8,1000000.0,FAM,JG075B_248,STANDARD,,334,L-MMMMx,0.0,2+2,K8,-2.0,50,-0.2971087772158834,0.19381284713745117,0.4855297769096473
352,JG075B,265,S075_SNV,5.0,False,L1,100000.0,FAM,JG075B_265,STANDARD,,352,L-MMMMx,3.1622776601683795,2+2,L1,0.5,50,-0.3901245930382307,0.2930774986743927,0.34464952831307133
356,JG075B,267,S075_SNV,5.0,False,L3,100000.0,FAM,JG075B_267,STANDARD,,356,L-MMMMx,1.0,2+2,L3,0.0,50,-0.4209396530329445,0.308247447013855,0.320709854891068
364,JG075B,271,S075_SNV,5.0,False,L7,100000.0,FAM,JG075B_271,STANDARD,,364,L-MMMMx,0.1,2+2,L7,-1.0,50,-0.4736700498108505,0.3366316258907318,0.26790759679751786
366,JG075B,272,S075_SNV,5.0,False,L8,100000.0,FAM,JG075B_272,STANDARD,,366,L-MMMMx,0.0,2+2,L8,-2.0,50,-0.4415574578221563,0.3092573285102844,0.2871760559363381
384,JG075B,289,S075_SNV,4.0,False,M1,10000.0,FAM,JG075B_289,STANDARD,,384,L-MMMMx,3.1622776601683795,2+2,M1,0.5,50,-0.49865179337661536,0.3624644875526428,0.19304572306172862
388,JG075B,291,S075_SNV,4.0,False,M3,10000.0,FAM,JG075B_291,STANDARD,,388,L-MMMMx,1.0,2+2,M3,0.0,50,-0.5577833470283928,0.3975793421268463,0.11572631514261089
396,JG075B,295,S075_SNV,4.0,False,M7,10000.0,FAM,JG075B_295,STANDARD,,396,L-MMMMx,0.1,2+2,M7,-1.0,50,-0.5600722709085215,0.3495584726333618,0.1525050048858867
398,JG075B,296,S075_SNV,4.0,False,M8,10000.0,FAM,JG075B_296,STANDARD,,398,L-MMMMx,0.0,2+2,M8,-2.0,50,-0.5325013045469624,0.37041568756103516,0.167027065733786
416,JG075B,313,S075_SNV,3.0,False,N1,1000.0,FAM,JG075B_313,STANDARD,,416,L-MMMMx,3.1622776601683795,2+2,N1,0.5,50,-0.5931651622968381,0.4465104043483734,0.08483525455752594
420,JG075B,315,S075_SNV,3.0,False,N3,1000.0,FAM,JG075B_315,STANDARD,,420,L-MMMMx,1.0,2+2,N3,0.0,50,-0.5627479317912,0.4182886481285095,0.08633832607489222
428,JG075B,319,S075_SNV,3.0,False,N7,1000.0,FAM,JG075B_319,STANDARD,,428,L-MMMMx,0.1,2+2,N7,-1.0,50,-0.5757503436907149,0.4191601574420929,0.11442974498638792
430,JG075B,320,S075_SNV,3.0,False,N8,1000.0,FAM,JG075B_320,STANDARD,,430,L-MMMMx,0.0,2+2,N8,-2.0,50,-0.48689734520103384,0.3213621973991394,0.2083550364272983
448,JG075B,337,S075_SNV,2.0,False,O1,100.0,FAM,JG075B_337,STANDARD,,448,L-MMMMx,3.1622776601683795,2+2,O1,0.5,50,-0.6760867311095912,0.5079308152198792,-0.06949477635531143
452,JG075B,339,S075_SNV,2.0,False,O3,100.0,FAM,JG075B_339,STANDARD,,452,L-MMMMx,1.0,2+2,O3,0.0,50,-0.6670786689521796,0.48664528131484985,-0.050247034685228176
460,JG075B,343,S075_SNV,2.0,False,O7,100.0,FAM,JG075B_343,STANDARD,,460,L-MMMMx,0.1,2+2,O7,-1.0,50,-0.6896479134742711,0.49738964438438416,-0.03914238211618237
462,JG075B,344,S075_SNV,2.0,False,O8,100.0,FAM,JG075B_344,STANDARD,,462,L-MMMMx,0.0,2+2,O8,-2.0,50,-0.6812719087594227,0.4916093945503235,-0.03242837181355385
